"","unit_code","street_ad","scity_ad","state_ad","szip_ad","Address","lon","lat"
"117","100307","50 College Road NE","Bolivia","NC",28422,"50 College Road NE ,  Bolivia   NC",NA,NA
"135","110304","1 Rocket Drive","Asheville","NC",28803,"1 Rocket Drive ,  Asheville   NC",-82.477241,35.545811
"140","110322","340 Victoria Road","Asheville","NC",28801,"340 Victoria Road ,  Asheville   NC",-82.554934,35.574038
"141","110323","340 Victoria Road","Asheville","NC",28801,"340 Victoria Road ,  Asheville   NC",-82.554934,35.574038
"145","110336","99 Lake Eden Road","Black Mountain","NC",28711,"99 Lake Eden Road ,  Black Mountain   NC",-82.3734121,35.6189247
"158","110380","890 Clarks Chapel Road","Weaverville","NC",28787,"890 Clarks Chapel Road ,  Weaverville   NC",-82.557616,35.739801
"167","110416","250 Overlook Road","Asheville","NC",28803,"250 Overlook Road ,  Asheville   NC",-82.5352348,35.487034
"177","111302","419 McDowell Street","Asheville","NC",28803,"419 McDowell Street ,  Asheville   NC",-82.5517436,35.57262
"184","111700","419 McDowell Street","Asheville","NC",28803,"419 McDowell Street ,  Asheville   NC",-82.5517436,35.57262
"187","120310","1001 Burkemont Ave","Morganton","NC",28655,"1001 Burkemont Ave ,  Morganton   NC",-81.6933526,35.7224938
"199","120346","709 Lovelady Road NE","Valdese","NC",28690,"709 Lovelady Road NE ,  Valdese   NC",-81.5692634,35.7389114
"205","120370","701 Enola Road","Morganton","NC",28655,"701 Enola Road ,  Morganton   NC",-81.669386,35.701655
"213","130307","1355 Cox Mill Rd","Concord","NC",28027,"1355 Cox Mill Rd ,  Concord   NC",-80.7288796,35.39528
"232","130326","5130 NW Cabarrus Drive","Concord","NC",28027,"5130 NW Cabarrus Drive ,  Concord   NC",-80.6624834,35.4509811
"238","130332","7321 Raging Ridge Road","Harrisburg","NC",28075,"7321 Raging Ridge Road ,  Harrisburg   NC",-80.6348308,35.307899
"247","130350","1531 Trinity Church Rd","Concord","NC",28027,"1531 Trinity Church Rd ,  Concord   NC",NA,NA
"258","140305","2857 Hickory Boulevard","Hudson","NC",28638,"2857 Hickory Boulevard ,  Hudson   NC",-81.4813708,35.8533189
